cruise,station,latitude (degrees_north),longitude (degrees_east),time_UTC
1505,101,36.3027,-121.9515,2015-06-11 04:25:33
1505,103,36.304,-122.02,2015-06-11 05:33:49
1505,104,36.3062,-122.1002,2015-06-11 06:57:16
1505,105,36.3098,-122.1975,2015-06-11 08:36:46
1505,106,36.3042,-122.306,2015-06-11 10:18:22
1505,109,36.5923,-122.0395,2015-05-10 07:18:20
1505,110,36.5925,-122.1778,2015-05-10 09:17:20
1505,112,36.6557,-121.9477,2015-05-07 04:29:55
1505,114,36.7678,-121.8773,2015-05-07 10:20:26
1505,115,36.7112,-121.9235,2015-05-07 06:02:17
1505,116,36.7453,-121.9843,2015-05-07 08:02:02
1505,117,36.713,-122.1228,2015-05-10 05:11:53
1505,119,36.831,-121.962,2015-05-07 11:54:48
1505,123,36.9833,-122.2922,2015-05-08 04:19:18
1505,124,36.9835,-122.3643,2015-05-08 05:20:43
1505,125,36.9835,-122.4152,2015-05-08 06:45:28
1505,126,36.9848,-122.5792,2015-05-08 08:55:53
1505,127,36.9943,-122.762,2015-06-02 10:34:28
1505,131,37.2757,-122.5657,2015-05-09 04:19:43
1505,132,37.2755,-122.6315,2015-05-09 05:13:32
1505,133,37.2817,-122.8423,2015-05-09 07:33:42
1505,134,37.2842,-122.9882,2015-05-09 09:12:13
1505,135,37.2787,-123.1532,2015-05-09 11:27:53
1505,138,37.6993,-122.894,2015-05-02 09:22:28
1505,139,37.7788,-122.8527,2015-05-02 08:04:09
1505,152,37.6657,-123.053,2015-05-21 10:14:47
1505,154,37.6687,-123.203,2015-06-14 10:33:16
1505,156,37.7445,-123.1403,2015-05-21 08:06:10
1505,160,37.8828,-123.3367,2015-05-21 05:52:56
1505,162,37.8828,-123.5073,2015-05-21 04:26:50
1505,165,38.1697,-123.0093,2015-05-31 05:11:59
1505,167,38.1723,-123.1745,2015-05-31 07:03:13
1505,171,38.1717,-123.4897,2015-05-31 11:18:23
1505,211,36.5865,-122.3298,2015-05-19 04:36:58
1505,237,37.5935,-122.8245,2015-05-02 10:48:40
1505,401,32.72,-118.2167,2015-05-13 10:59:18
1505,402,32.718,-118.4613,2015-05-13 08:43:01
1505,403,32.717,-118.7625,2015-05-13 06:23:00
1505,404,32.7235,-119.0127,2015-05-13 04:20:12
1505,411,33.6888,-119.308,2015-05-15 04:28:11
1505,412,33.59,-119.4445,2015-05-15 06:11:16
1505,413,33.4932,-119.592,2015-05-15 08:21:20
1505,414,33.3902,-119.7528,2015-05-15 10:26:27
1505,422,34.3238,-120.2948,2015-05-12 04:59:24
1505,423,34.197,-120.4805,2015-05-16 09:11:03
1505,424,34.0527,-120.5802,2015-05-16 06:59:08
1505,425,33.9228,-120.7287,2015-05-16 04:15:43
1505,441,35.7123,-121.3842,2015-05-11 05:52:25
1505,442,35.7117,-121.4367,2015-05-11 07:24:27
1505,443,35.711,-121.5062,2015-05-18 07:08:12
1505,444,35.7083,-121.7038,2015-05-18 09:47:12
1505,453,38.4648,-123.3753,2015-05-03 04:44:31
1505,454,38.4713,-123.7202,2015-05-03 07:43:00
1505,455,38.4702,-124.0687,2015-05-03 11:10:01
1505,461,39.138,-123.7852,2015-05-04 04:29:50
1505,463,39.146,-124.0075,2015-05-04 06:56:39
1505,464,39.1378,-124.3248,2015-05-04 10:05:23
1505,471,39.8327,-123.9168,2015-05-05 04:20:50
1505,473,39.8347,-124.1057,2015-05-05 06:31:24
1505,474,39.8403,-124.4002,2015-05-05 09:21:09
1505,475,39.8423,-124.7032,2015-05-26 11:16:55
1505,481,33.021,-117.7528,2015-05-14 11:47:36
1505,482,32.9247,-117.5892,2015-05-14 09:20:51
1505,483,32.824,-117.433,2015-05-14 06:45:58
1505,484,32.7052,-117.3323,2015-05-14 04:49:18
1505,491,35.0037,-120.7455,2015-05-17 04:13:02
1505,492,35.0057,-120.8033,2015-05-17 05:26:12
1505,493,35.0032,-120.8892,2015-05-17 06:55:45
1505,494,35.0025,-120.9712,2015-05-17 08:28:15
1505,495,35.0047,-121.1138,2015-05-17 10:27:47
1505,602,40.4965,-124.6188,2015-05-27 05:07:46
1505,603,40.5057,-124.7325,2015-05-27 08:00:48
1505,605,40.5128,-124.9357,2015-05-27 10:23:10
1505,611,41.0095,-124.274,2015-05-29 04:45:05
1505,613,41.0098,-124.495,2015-05-29 07:30:23
1505,615,41.006,-124.7172,2015-05-29 09:59:53
1505,621,41.5045,-124.2693,2015-05-28 04:28:37
1505,623,41.5047,-124.4912,2015-05-28 07:25:30
1505,625,41.5063,-124.7065,2015-05-28 09:51:07
1603,101,36.2932,-121.925,2016-05-15 04:18:36
1603,103,36.2953,-122.0065,2016-05-15 05:36:51
1603,104,36.2933,-122.068,2016-05-15 08:11:24
1603,105,36.2935,-122.171,2016-05-15 10:02:12
1603,106,36.3013,-122.2905,2016-05-15 11:16:46
1603,109,36.5992,-122.0583,2016-05-17 08:52:26
1603,110,36.5677,-122.1598,2016-06-04 08:07:02
1603,112,36.6805,-121.9758,2016-04-29 05:47:05
1603,113,36.6612,-122.0698,2016-05-17 07:03:49
1603,114,36.777,-121.9307,2016-04-28 07:59:52
1603,115,36.713,-121.9458,2016-04-28 10:59:14
1603,116,36.7462,-121.9978,2016-04-29 04:03:29
1603,117,36.706,-122.127,2016-04-30 04:29:00
1603,119,36.85,-122.0,2016-04-28 05:29:26
1603,124,36.9993,-122.3863,2016-05-06 04:03:00
1603,125,36.9938,-122.4378,2016-05-06 05:27:33
1603,126,36.9915,-122.6037,2016-05-06 07:26:06
1603,127,36.9917,-122.769,2016-05-06 09:48:23
1603,131,37.2703,-122.5473,2016-05-05 04:04:58
1603,132,37.285,-122.6593,2016-05-19 06:06:11
1603,133,37.2718,-122.802,2016-05-05 06:27:53
1603,134,37.2725,-122.9558,2016-05-05 07:54:19
1603,135,37.2707,-123.1303,2016-05-05 10:07:14
1603,138,37.7058,-122.941,2016-04-27 06:14:35
1603,139,37.7933,-122.8792,2016-05-24 05:58:22
1603,152,37.6612,-123.0658,2016-05-04 11:30:19
1603,154,37.6625,-123.2302,2016-05-04 09:36:01
1603,156,37.7453,-123.1613,2016-05-04 07:49:14
1603,160,37.8898,-123.3357,2016-05-04 05:39:14
1603,162,37.8877,-123.5252,2016-05-04 04:03:14
1603,165,38.16,-122.988,2016-05-03 04:17:28
1603,167,38.1678,-123.1455,2016-05-03 05:43:13
1603,170,38.1655,-123.347,2016-05-03 07:23:17
1603,171,38.1682,-123.4713,2016-05-03 09:10:09
1603,174,38.1685,-123.6882,2016-05-03 11:22:36
1603,211,36.5713,-122.3142,2016-06-04 09:33:37
1603,212,36.5657,-122.5287,2016-06-04 11:20:17
1603,237,37.6017,-122.8667,2016-04-27 09:52:53
1603,401,32.7188,-118.2087,2016-06-11 10:43:50
1603,402,32.7162,-118.4717,2016-05-09 08:52:27
1603,403,32.7165,-118.7717,2016-05-09 06:07:21
1603,404,32.7188,-119.0348,2016-05-09 04:07:35
1603,411,33.6892,-119.2712,2016-05-11 04:02:18
1603,412,33.5847,-119.434,2016-05-11 06:01:00
1603,413,33.4872,-119.5768,2016-05-11 07:49:23
1603,414,33.3852,-119.7397,2016-05-11 10:23:25
1603,422,34.326,-120.322,2016-05-08 04:05:00
1603,423,34.2027,-120.4795,2016-05-12 09:55:03
1603,424,34.0728,-120.584,2016-05-08 08:21:52
1603,425,33.9203,-120.7337,2016-05-08 10:43:19
1603,441,35.7198,-121.3922,2016-05-07 04:03:55
1603,442,35.6987,-121.415,2016-05-07 05:18:44
1603,443,35.7008,-121.4938,2016-05-07 07:28:04
1603,444,35.6985,-121.6802,2016-05-07 09:21:33
1603,445,35.7078,-121.8815,2016-05-07 11:37:09
1603,453,38.4845,-123.3902,2016-05-25 04:36:08
1603,454,38.4713,-123.7208,2016-05-25 07:46:08
1603,455,38.475,-124.0723,2016-05-25 10:49:45
1603,461,39.1483,-123.7992,2016-05-02 04:20:09
1603,463,39.1477,-124.0157,2016-05-02 06:53:27
1603,464,39.1473,-124.3312,2016-05-02 09:47:17
1603,473,39.8262,-124.097,2016-05-26 04:44:58
1603,481,33.0283,-117.7563,2016-06-12 04:12:46
1603,482,32.9078,-117.5697,2016-05-10 07:56:20
1603,483,32.8145,-117.4098,2016-05-10 05:58:16
1603,484,32.705,-117.32,2016-05-10 04:07:34
1603,493,34.9868,-120.8852,2016-06-08 04:40:07
1603,494,34.9932,-120.9598,2016-05-13 05:21:51
1603,495,34.9932,-121.101,2016-05-13 07:40:59
1603,612,40.991,-124.3742,2016-05-29 04:50:36
1603,613,40.9848,-124.4798,2016-05-29 08:12:44
1603,621,41.4857,-124.257,2016-05-27 09:52:29
1703,109,36.579,-122.0377,2017-05-13 09:18:47
1703,112,36.65,-121.9333,2017-05-09 11:04:21
1703,113,36.6303,-122.0293,2017-05-13 11:08:31
1703,115,36.713,-121.9108,2017-04-29 09:42:26
1703,116,36.7392,-121.979,2017-04-29 08:01:20
1703,117,36.699,-122.1027,2017-05-05 04:25:58
1703,119,36.8038,-121.9825,2017-04-29 06:10:14
1703,123,36.9807,-122.309,2017-05-04 04:11:35
1703,124,36.9777,-122.3963,2017-05-04 06:15:35
1703,125,36.9632,-122.4138,2017-05-04 08:09:27
1703,126,36.9675,-122.5775,2017-05-04 09:38:32
1703,127,36.9698,-122.743,2017-05-04 11:21:52
1703,131,37.2565,-122.561,2017-04-30 04:12:41
1703,132,37.2905,-122.6463,2017-04-30 05:47:38
1703,133,37.2697,-122.8148,2017-04-30 08:17:58
1703,134,37.2918,-122.9922,2017-04-30 10:44:07
1703,135,37.256,-123.1372,2017-06-06 11:13:48
1703,138,37.6937,-122.92,2017-04-27 07:50:01
1703,139,37.7763,-122.8272,2017-04-27 05:32:09
1703,152,37.6423,-123.026,2017-05-01 10:07:53
1703,156,37.72,-123.1127,2017-05-03 07:53:45
1703,160,37.8745,-123.307,2017-05-23 08:23:30
1703,162,37.8647,-123.5025,2017-05-23 10:23:20
1703,165,38.1743,-123.0203,2017-05-02 04:25:20
1703,167,38.1672,-123.1687,2017-05-02 06:06:29
1703,170,38.1542,-123.348,2017-05-17 09:43:10
1703,171,38.162,-123.453,2017-05-17 06:36:32
1703,183,38.4552,-123.2168,2017-05-15 05:28:23
1703,211,36.571,-122.3032,2017-05-05 09:13:21
1703,237,37.5902,-122.8235,2017-04-27 10:34:54
1703,401,32.7098,-118.1805,2017-06-10 06:59:43
1703,402,32.717,-118.474,2017-06-08 07:49:51
1703,403,32.7183,-118.7775,2017-06-08 05:47:05
1703,404,32.7157,-119.0282,2017-06-08 03:57:28
1703,411,33.6863,-119.2732,2017-06-11 04:13:46
1703,412,33.5805,-119.4413,2017-06-11 06:57:11
1703,422,34.3255,-120.2838,2017-05-11 04:02:56
1703,423,34.1798,-120.48,2017-05-11 06:46:34
1703,424,34.0722,-120.5868,2017-05-11 08:34:20
1703,425,33.918,-120.7135,2017-05-11 10:58:53
1703,441,35.7062,-121.3693,2017-05-10 04:03:48
1703,442,35.6962,-121.42,2017-05-10 05:31:35
1703,443,35.6908,-121.4942,2017-05-10 06:53:17
1703,444,35.6918,-121.6893,2017-05-10 08:34:42
1703,445,35.6948,-121.8588,2017-05-10 10:50:28
1703,453,38.456,-123.378,2017-05-15 08:57:23
1703,461,39.1152,-123.7775,2017-05-16 04:32:49
1703,463,39.1192,-123.9942,2017-05-16 06:37:16
1703,464,39.1243,-124.2982,2017-05-16 09:40:47
1703,471,39.8278,-123.924,2017-05-25 04:28:31
1703,473,39.8258,-124.0945,2017-05-25 07:06:07
1703,481,33.0297,-117.768,2017-06-13 04:09:56
1703,482,32.9263,-117.5552,2017-06-13 06:56:27
1703,484,32.7075,-117.3407,2017-06-13 10:27:08
1703,493,34.9915,-120.867,2017-05-12 04:07:20
1703,494,34.975,-120.9563,2017-05-12 07:45:02
1703,495,34.9815,-121.1075,2017-05-12 09:51:59
1703,601,40.4897,-124.5332,2017-05-26 04:46:07
1703,602,40.489,-124.6162,2017-05-26 06:10:56
1703,603,40.4847,-124.7287,2017-05-26 07:44:33
1703,605,40.4845,-124.9425,2017-05-26 10:29:57
1703,611,40.9852,-124.2655,2017-06-03 04:49:59
1703,613,40.9868,-124.4907,2017-06-03 06:43:21
1703,615,40.9885,-124.7103,2017-06-03 08:35:38
1703,617,40.9898,-124.9312,2017-06-03 10:47:51
1703,621,41.4967,-124.2468,2017-06-02 04:40:41
1703,623,41.4897,-124.4647,2017-06-02 06:34:06
1703,625,41.51,-124.6985,2017-06-02 08:33:38
1802,109,36.6002,-122.046,2018-05-15 06:23:55
1802,110,36.5685,-122.148,2018-05-15 08:00:43
1802,113,36.6585,-122.0273,2018-05-16 10:35:23
1802,114,36.7482,-121.8675,2018-05-16 06:46:41
1802,115,36.6997,-121.8968,2018-05-16 09:05:36
1802,116,36.725,-121.9558,2018-05-16 07:51:00
1802,117,36.6827,-122.0858,2018-05-15 04:18:59
1802,119,36.852,-121.964,2018-05-16 04:26:54
1802,123,36.9602,-122.2858,2018-06-08 04:42:18
1802,124,36.971,-122.374,2018-06-08 06:06:01
1802,125,36.9627,-122.4287,2018-06-08 07:33:20
1802,126,36.9642,-122.5927,2018-06-08 09:44:17
1802,127,36.9678,-122.7683,2018-06-08 11:35:56
1802,131,37.2558,-122.5477,2018-05-17 04:28:42
1802,132,37.2607,-122.6278,2018-05-17 05:32:05
1802,133,37.2742,-122.7868,2018-05-17 06:59:40
1802,134,37.2803,-122.9528,2018-05-17 08:24:17
1802,135,37.2622,-123.1212,2018-05-17 10:41:08
1802,139,37.7708,-122.8553,2018-06-21 04:52:29
1802,152,37.6393,-123.0153,2018-05-18 04:29:59
1802,154,37.6402,-123.1803,2018-05-18 06:07:39
1802,156,37.7272,-123.1187,2018-05-18 08:13:19
1802,160,37.8663,-123.298,2018-05-18 10:06:45
1802,162,37.8802,-123.474,2018-06-17 10:08:34
1802,165,38.1677,-123.0062,2018-05-26 04:33:06
1802,167,38.1652,-123.1612,2018-05-26 05:54:34
1802,171,38.1452,-123.466,2018-05-26 09:14:38
1802,174,38.1585,-123.6952,2018-06-19 10:50:11
1802,183,38.4537,-123.2232,2018-05-24 04:34:09
1802,211,36.5608,-122.3253,2018-06-09 10:56:58
1802,212,36.5688,-122.4867,2018-05-15 10:24:26
1802,237,37.576,-122.8237,2018-05-25 04:36:51
1802,401,32.7183,-118.1908,2018-05-09 04:37:28
1802,402,32.724,-118.4193,2018-05-09 06:48:49
1802,403,32.7355,-118.7172,2018-05-09 09:13:17
1802,404,32.7133,-119.0392,2018-05-09 12:06:25
1802,411,33.6858,-119.2623,2018-05-11 10:43:38
1802,412,33.5772,-119.427,2018-05-12 07:55:19
1802,413,33.477,-119.5827,2018-05-12 05:45:36
1802,414,33.3725,-119.7318,2018-05-12 03:36:16
1802,422,34.3125,-120.273,2018-05-13 04:13:59
1802,423,34.1708,-120.4428,2018-05-13 06:15:47
1802,424,34.059,-120.5457,2018-05-13 08:28:48
1802,425,33.9097,-120.6993,2018-05-13 11:05:07
1802,441,35.7157,-121.382,2018-05-14 04:28:40
1802,442,35.6905,-121.423,2018-06-15 06:03:01
1802,443,35.6937,-121.4823,2018-05-14 06:30:37
1802,444,35.7,-121.6815,2018-05-14 08:33:59
1802,445,35.7018,-121.843,2018-05-14 10:27:16
1802,453,38.4608,-123.3732,2018-05-24 05:50:12
1802,454,38.4443,-123.696,2018-05-24 08:11:38
1802,455,38.4578,-124.0398,2018-05-24 10:35:27
1802,461,39.1212,-123.7755,2018-05-23 04:34:00
1802,463,39.1193,-123.9935,2018-05-23 06:30:00
1802,464,39.1233,-124.3035,2018-05-23 08:44:00
1802,465,39.1223,-124.5813,2018-05-23 10:47:00
1802,471,39.8228,-123.923,2018-05-19 04:45:41
1802,473,39.826,-124.0842,2018-05-19 06:21:18
1802,474,39.8307,-124.374,2018-05-19 08:44:05
1802,475,39.827,-124.7028,2018-05-19 11:00:03
1802,481,33.0303,-117.7413,2018-05-10 10:22:33
1802,482,32.9448,-117.5717,2018-05-10 07:48:24
1802,483,32.8212,-117.402,2018-05-10 05:29:23
1802,484,32.7212,-117.3068,2018-05-10 03:38:11
1802,491,34.9933,-120.7187,2018-06-13 04:55:25
1802,492,34.9997,-120.7937,2018-06-13 06:06:24
1802,493,35.0007,-120.8763,2018-06-13 07:29:06
1802,494,35.0,-120.9545,2018-06-13 08:39:15
1802,495,34.993,-121.1042,2018-06-13 10:15:50
1802,601,40.4973,-124.5425,2018-05-22 07:33:09
1802,602,40.4782,-124.6208,2018-05-22 10:23:24
1802,611,40.9913,-124.2772,2018-05-20 04:52:13
1802,613,40.9783,-124.4895,2018-05-20 06:59:50
1802,615,40.9753,-124.6982,2018-05-20 08:55:13
1802,617,40.9787,-124.92,2018-05-20 10:47:00
1802,621,41.4812,-124.2735,2018-05-21 04:59:39
1802,622,41.489,-124.3528,2018-05-21 06:21:14
1802,623,41.4847,-124.4657,2018-05-21 07:55:59
1802,625,41.4863,-124.6925,2018-05-21 09:48:35
