latitude (degrees_north),longitude (degrees_east),source
36.747,-122.022,mbari
36.697,-122.378,mbari
36.797,-121.847,mbari
36.453,-122.772,mbari
36.12,-123.485,mbari
35.786,-124.195,mbari
35.453,-124.902,mbari
41.0583,-124.20416666700001,trinidad_head_line
41.0583,-124.26666666700001,trinidad_head_line
41.0583,-124.34166666700001,trinidad_head_line
41.0583,-124.433333333,trinidad_head_line
41.0583,-124.583333333,trinidad_head_line
41.0583,-124.75,trinidad_head_line
41.0583,-124.933333333,trinidad_head_line
41.0583,-125.23333333299999,trinidad_head_line
41.0583,-125.53333333299999,trinidad_head_line
34.256668,-119.325,CalCOFI_2015
34.405,-119.79833,CalCOFI_2015
34.27667,-120.025,CalCOFI_2015
34.45,-120.52333,CalCOFI_2015
34.318333,-120.80333999999999,CalCOFI_2015
34.15167,-121.14833,CalCOFI_2015
34.711665999999994,-121.55,CalCOFI_2015
34.31333,-120.79333500000001,CalCOFI_2015
34.148334999999996,-121.14667,CalCOFI_2015
33.808334,-121.84333000000001,CalCOFI_2015
33.48,-122.53166999999999,CalCOFI_2015
33.14,-123.22,CalCOFI_2015
32.82,-123.91,CalCOFI_2015
34.465,-120.485,CalCOFI_2015
33.15,-123.22166399999999,CalCOFI_2015
33.483334,-122.53333,CalCOFI_2015
33.816666,-121.84333000000001,CalCOFI_2015
34.15167,-121.15,CalCOFI_2015
34.316666,-120.80167,CalCOFI_2015
33.878334,-120.13333,CalCOFI_2015
32.321667,-121.715,CalCOFI_2015
36.3027,-121.9515,rockfish_2015
36.304,-122.02,rockfish_2015
36.3062,-122.1002,rockfish_2015
36.3098,-122.1975,rockfish_2015
36.3042,-122.306,rockfish_2015
36.5923,-122.0395,rockfish_2015
36.5925,-122.1778,rockfish_2015
36.6557,-121.9477,rockfish_2015
36.7678,-121.8773,rockfish_2015
36.7112,-121.9235,rockfish_2015
36.7453,-121.9843,rockfish_2015
36.713,-122.1228,rockfish_2015
36.830999999999996,-121.962,rockfish_2015
36.9833,-122.2922,rockfish_2015
36.9835,-122.3643,rockfish_2015
36.9835,-122.4152,rockfish_2015
36.9848,-122.5792,rockfish_2015
36.9943,-122.762,rockfish_2015
37.2757,-122.5657,rockfish_2015
37.2755,-122.6315,rockfish_2015
37.2817,-122.8423,rockfish_2015
37.2842,-122.9882,rockfish_2015
37.2787,-123.1532,rockfish_2015
37.6993,-122.89399999999999,rockfish_2015
37.7788,-122.8527,rockfish_2015
37.6657,-123.053,rockfish_2015
37.6687,-123.20299999999999,rockfish_2015
37.7445,-123.1403,rockfish_2015
37.8828,-123.3367,rockfish_2015
37.8828,-123.5073,rockfish_2015
38.1697,-123.0093,rockfish_2015
38.1723,-123.1745,rockfish_2015
38.1717,-123.4897,rockfish_2015
36.5865,-122.3298,rockfish_2015
37.5935,-122.8245,rockfish_2015
32.72,-118.2167,rockfish_2015
32.718,-118.4613,rockfish_2015
32.717,-118.7625,rockfish_2015
32.7235,-119.0127,rockfish_2015
33.6888,-119.30799999999999,rockfish_2015
33.59,-119.4445,rockfish_2015
33.4932,-119.59200000000001,rockfish_2015
33.3902,-119.7528,rockfish_2015
34.3238,-120.2948,rockfish_2015
34.196999999999996,-120.4805,rockfish_2015
34.0527,-120.5802,rockfish_2015
33.9228,-120.7287,rockfish_2015
35.7123,-121.3842,rockfish_2015
35.7117,-121.4367,rockfish_2015
35.711,-121.5062,rockfish_2015
35.7083,-121.7038,rockfish_2015
38.4648,-123.3753,rockfish_2015
38.4713,-123.7202,rockfish_2015
38.4702,-124.0687,rockfish_2015
39.138000000000005,-123.7852,rockfish_2015
39.146,-124.0075,rockfish_2015
39.1378,-124.3248,rockfish_2015
39.8327,-123.9168,rockfish_2015
39.8347,-124.1057,rockfish_2015
39.8403,-124.4002,rockfish_2015
39.8423,-124.7032,rockfish_2015
33.021,-117.7528,rockfish_2015
32.9247,-117.5892,rockfish_2015
32.824,-117.43299999999999,rockfish_2015
32.7052,-117.3323,rockfish_2015
35.0037,-120.7455,rockfish_2015
35.0057,-120.8033,rockfish_2015
35.0032,-120.8892,rockfish_2015
35.0025,-120.9712,rockfish_2015
35.0047,-121.1138,rockfish_2015
40.4965,-124.6188,rockfish_2015
40.5057,-124.7325,rockfish_2015
40.5128,-124.9357,rockfish_2015
41.0095,-124.274,rockfish_2015
41.0098,-124.495,rockfish_2015
41.006,-124.7172,rockfish_2015
41.5045,-124.2693,rockfish_2015
41.5047,-124.4912,rockfish_2015
41.5063,-124.7065,rockfish_2015
37.72428333,-123.15218329999999,ACCESS_2013_2014
37.727017,-123.042883,ACCESS_2013_2014
37.730659,-122.89544199999999,ACCESS_2013_2014
37.7343,-122.74799999999999,ACCESS_2013_2014
37.8925,-123.095,ACCESS_2013_2014
37.889874,-123.189975,ACCESS_2013_2014
37.884643,-123.380078,ACCESS_2013_2014
37.882,-123.475,ACCESS_2013_2014
37.88345,-123.41058329999998,ACCESS_2013_2014
38.04708333,-123.5114,ACCESS_2013_2014
38.0461,-123.56299999999999,ACCESS_2013_2014
38.048781,-123.467652,ACCESS_2013_2014
38.051448,-123.372606,ACCESS_2013_2014
38.054124,-123.277803,ACCESS_2013_2014
38.0568,-123.18299999999999,ACCESS_2013_2014
37.72475,-123.15623329999998,ACCESS_2013_2014
37.7221,-123.23299999999999,ACCESS_2013_2014
37.724604,-123.13781499999999,ACCESS_2013_2014
37.727017,-123.042883,ACCESS_2013_2014
37.730659,-122.89544199999999,ACCESS_2013_2014
37.7343,-122.74799999999999,ACCESS_2013_2014
37.8925,-123.095,ACCESS_2013_2014
37.889874,-123.189975,ACCESS_2013_2014
37.887248,-123.284951,ACCESS_2013_2014
37.882,-123.475,ACCESS_2013_2014
37.88521667,-123.4078,ACCESS_2013_2014
37.884643,-123.380078,ACCESS_2013_2014
38.047447600000005,-123.5151749,ACCESS_2013_2014
38.0461,-123.56299999999999,ACCESS_2013_2014
38.048781,-123.467652,ACCESS_2013_2014
38.051448,-123.372606,ACCESS_2013_2014
38.054124,-123.277803,ACCESS_2013_2014
38.0568,-123.18299999999999,ACCESS_2013_2014
37.7221,-123.23299999999999,ACCESS_2013_2014
37.724604,-123.13781499999999,ACCESS_2013_2014
37.70785,-123.14288329999998,ACCESS_2013_2014
37.730659,-122.89544199999999,ACCESS_2013_2014
37.7343,-122.74799999999999,ACCESS_2013_2014
37.89366667,-123.41575,ACCESS_2013_2014
37.882,-123.475,ACCESS_2013_2014
37.884643,-123.380078,ACCESS_2013_2014
37.887248,-123.284951,ACCESS_2013_2014
37.889874,-123.189975,ACCESS_2013_2014
37.8925,-123.095,ACCESS_2013_2014
38.04765,-123.53116670000001,ACCESS_2013_2014
38.0461,-123.56299999999999,ACCESS_2013_2014
38.048781,-123.467652,ACCESS_2013_2014
38.051448,-123.372606,ACCESS_2013_2014
38.054124,-123.277803,ACCESS_2013_2014
38.0568,-123.18299999999999,ACCESS_2013_2014
37.72593333,-123.15775,ACCESS_2013_2014
37.727,-123.04296000000001,ACCESS_2013_2014
37.9683,-123.4306,ACCESS_2013_2014
38.3691,-123.5534,ACCESS_2013_2014
38.05065,-123.51445,ACCESS_2013_2014
37.724000000000004,-123.161,ACCESS_2013_2014
37.8843,-123.4125,ACCESS_2013_2014
38.0483,-123.5145,ACCESS_2013_2014
38.2119,-123.3857,ACCESS_2013_2014
38.3685,-123.4965,ACCESS_2013_2014
